gescal17,municipio,tipo_via,nombre_via,numero,cod_postal,uuii
14000200152100000,CORDOBA,CALLE,LIBERTADOR HIDALGO Y COSTILLA,7,14013,7
14000200152100000,CORDOBA,CALLE,LIBERTADOR HIDALGO Y COSTILLA,8,14013,7
14000200152100000,CORDOBA,CALLE,LIBERTADOR HIDALGO Y COSTILLA,9,14013,7
14000200152100000,CORDOBA,CALLE,LIBERTADOR HIDALGO Y COSTILLA,10,14013,8
14000200152100000,CORDOBA,CALLE,LIBERTADOR HIDALGO Y COSTILLA,11,14013,8
14000200152100000,CORDOBA,CALLE,LIBERTADOR HIDALGO Y COSTILLA,12,14013,6
14000200152100000,CORDOBA,CALLE,LIBERTADOR HIDALGO Y COSTILLA,13,14013,6
14000200152100000,CORDOBA,CALLE,LIBERTADOR HIDALGO Y COSTILLA,14,14013,28
14000200152100000,CORDOBA,CALLE,LIBERTADOR HIDALGO Y COSTILLA,15,14013,6
14000200152100000,CORDOBA,CALLE,LIBERTADOR HIDALGO Y COSTILLA,17,14013,8
14000200152100000,CORDOBA,CALLE,LIBERTADOR HIDALGO Y COSTILLA,29,14013,161
14000200152200000,CORDOBA,CALLE,LIBERTADOR JOAQUÍN JOSÉ DA SILVA XAVIER,6,14013,4
14000200152200000,CORDOBA,CALLE,LIBERTADOR JOAQUÍN JOSÉ DA SILVA XAVIER,8,14013,5
14000200152600000,CORDOBA,CALLE,LIBERTADOR SIMÓN BOLÍVAR,1,14013,9
14000200152600000,CORDOBA,CALLE,LIBERTADOR SIMÓN BOLÍVAR,3,14013,4
14000200152600000,CORDOBA,CALLE,LIBERTADOR SIMÓN BOLÍVAR,5,14013,4
14000200152600000,CORDOBA,CALLE,LIBERTADOR SIMÓN BOLÍVAR,7,14013,4
14000200152600000,CORDOBA,CALLE,LIBERTADOR SIMÓN BOLÍVAR,9,14013,8
