municipio,actuacion,idzona
JEREZ DE LA FRONTERA,CAD30002-CR000221-02,J11000123
JEREZ DE LA FRONTERA,CAD30002-CR000106-04,J11002165
JEREZ DE LA FRONTERA,CAD30002-CR000097-01,J11000353
JEREZ DE LA FRONTERA,CAD30002-CR000459-01,J11000268
JEREZ DE LA FRONTERA,CAD30002-CR000318-03,J11002761
JEREZ DE LA FRONTERA,CAD30002-CR000203-02,J11002762
JEREZ DE LA FRONTERA,CAD30002-CR000283-B3,JB1100031
JEREZ DE LA FRONTERA,CAD30002-CR000273-02,J11001902
JEREZ DE LA FRONTERA,CAD30002-CR000304-02,J11000193
JEREZ DE LA FRONTERA,CAD30002-CR000137-02,J11000041
JEREZ DE LA FRONTERA,CAD30002-CR000273-04,J11003627
JEREZ DE LA FRONTERA,CAD30002-CR000137-01,J11000040
